OS,Mode,Size_Label,Size_KB,Mean_ms,Median_ms,StdDev_ms,CI95_ms,Throughput_MBs
Windows 11 (MinGW),CTR,8MB,8192.0,2.4498569666666667,2.446691,0.014072371636707454,0.0050357335169067706,3265.496765260132
Windows 11 (MinGW),CBC,8MB,8192.0,7.836731700000001,7.5818095,1.4974140189896379,0.5358427249350612,1020.8337233237164
Windows 11 (MinGW),OFB,8MB,8192.0,7.660310833333334,7.657445,0.02456346058552788,0.008789921482680681,1044.344044785824
Windows 11 (MinGW),CFB,8MB,8192.0,7.433315800000001,7.4252460000000005,0.02909345991135792,0.010410960922624347,1076.2357224214797
Windows 11 (MinGW),XTS,8MB,8192.0,6.917967199999999,6.898966000000001,0.0805243689041206,0.028815275341400874,1156.409067681038
Windows 11 (MinGW),ECB,8MB,8192.0,2.2905635333333336,2.266415,0.07896675600954661,0.02825789072549774,3492.5903095811677
Windows 11 (MinGW),GCM,8MB,8192.0,3.953781366666667,3.8944629999999996,0.31917941131600785,0.1142168854664115,2023.3794583195677
Windows 11 (MinGW),CCM,8MB,8192.0,8.997076233333331,9.0021425,0.4421130311275679,0.15820811634216103,889.1777498072922
Linux (Ubuntu),CTR,1KB,1.0,0.0014370333333333335,0.0014355,1.024689467959502e-05,3.666804168790658e-06,679.5684396093803
Linux (Ubuntu),CBC,1KB,1.0,0.001978066666666667,0.001976,1.0288706005342349e-05,3.681766159554383e-06,493.6954433622055
Linux (Ubuntu),OFB,1KB,1.0,0.0020744333333333333,0.0020729999999999998,7.0548752198615375e-06,2.52455467489089e-06,470.76109138238553
Linux (Ubuntu),CFB,1KB,1.0,0.0020462333333333333,0.002045,1.1874874469995934e-05,4.249369254975864e-06,477.2488474758499
Linux (Ubuntu),XTS,1KB,1.0,0.002140133333333333,0.0021395,1.0394737837610114e-05,3.7197091634342006e-06,456.3091863435301
Linux (Ubuntu),ECB,1KB,1.0,0.0011916,0.0011895,1.3171547182180762e-05,4.713377625830353e-06,819.5388553205775
Linux (Ubuntu),GCM,1KB,1.0,0.0018972666666666668,0.0018955,1.0061649050190301e-05,3.600514871653243e-06,514.7207386064161
